"지역별(1)","지역별(2)",구분별(1),구분별(2),2022 3/4,2022 4/4
"도심(시내)","종로",수익률 종합 (%),자본수익률,1.21,0.08
"도심(시내)","충무로",임대료 (천원/㎡),소계,48.30,48.20
"도심(시내)","충무로",공실률 (%),소계,11.10,11.10
"도심(시내)","충무로",수익률 종합 (%),투자수익률,0.94,0.52
"도심(시내)","충무로",수익률 종합 (%),소득수익률,0.43,0.66
"도심(시내)","충무로",수익률 종합 (%),자본수익률,0.51,-0.14
"강남","소계",임대료 (천원/㎡),소계,57.10,57.00
"강남","소계",공실률 (%),소계,8.60,8.20
"강남","소계",수익률 종합 (%),투자수익률,1.45,0.58
"강남","소계",수익률 종합 (%),소득수익률,0.34,0.59
"강남","소계",수익률 종합 (%),자본수익률,1.11,-0.02
"강남","강남대로",임대료 (천원/㎡),소계,106.50,106.20
"강남","강남대로",공실률 (%),소계,12.00,10.80
"강남","강남대로",수익률 종합 (%),투자수익률,1.54,0.57
"강남","강남대로",수익률 종합 (%),소득수익률,0.33,0.61
"강남","강남대로",수익률 종합 (%),자본수익률,1.20,-0.04
"강남","교대역",임대료 (천원/㎡),소계,33.40,33.30
"강남","교대역",공실률 (%),소계,6.00,5.70
"강남","교대역",수익률 종합 (%),투자수익률,1.61,0.53
"강남","교대역",수익률 종합 (%),소득수익률,0.39,0.67
"강남","교대역",수익률 종합 (%),자본수익률,1.22,-0.14
"강남","남부터미널",임대료 (천원/㎡),소계,30.90,31.10
"강남","남부터미널",공실률 (%),소계,5.20,5.80
"강남","남부터미널",수익률 종합 (%),투자수익률,1.77,0.64
"강남","남부터미널",수익률 종합 (%),소득수익률,0.48,0.76
"강남","남부터미널",수익률 종합 (%),자본수익률,1.29,-0.11
"강남","논현역",임대료 (천원/㎡),소계,53.00,53.10
"강남","논현역",공실률 (%),소계,20.00,18.20
"강남","논현역",수익률 종합 (%),투자수익률,1.33,0.92
"강남","논현역",수익률 종합 (%),소득수익률,0.30,0.52
"강남","논현역",수익률 종합 (%),자본수익률,1.03,0.41
"강남","도산대로",임대료 (천원/㎡),소계,46.30,46.30
"강남","도산대로",공실률 (%),소계,5.00,5.00
"강남","도산대로",수익률 종합 (%),투자수익률,1.46,0.45
"강남","도산대로",수익률 종합 (%),소득수익률,0.34,0.59
"강남","도산대로",수익률 종합 (%),자본수익률,1.12,-0.14
"강남","방배역/내방역",임대료 (천원/㎡),소계,39.90,39.80
"강남","방배역/내방역",공실률 (%),소계,7.60,7.40
"강남","방배역/내방역",수익률 종합 (%),투자수익률,1.35,0.57
"강남","방배역/내방역",수익률 종합 (%),소득수익률,0.39,0.65
"강남","방배역/내방역",수익률 종합 (%),자본수익률,0.95,-0.07
"강남","서래마을",임대료 (천원/㎡),소계,44.60,44.60
"강남","서래마을",공실률 (%),소계,6.40,3.90
"강남","서래마을",수익률 종합 (%),투자수익률,1.28,0.59
"강남","서래마을",수익률 종합 (%),소득수익률,0.44,0.68
"강남","서래마을",수익률 종합 (%),자본수익률,0.84,-0.09
"강남","신사역",임대료 (천원/㎡),소계,84.20,84.00
"강남","신사역",공실률 (%),소계,12.20,10.10
"강남","신사역",수익률 종합 (%),투자수익률,1.38,0.39
"강남","신사역",수익률 종합 (%),소득수익률,0.23,0.53
"강남","신사역",수익률 종합 (%),자본수익률,1.16,-0.14
"강남","압구정동",임대료 (천원/㎡),소계,47.50,47.50
"강남","압구정동",공실률 (%),소계,3.50,3.50
"강남","압구정동",수익률 종합 (%),투자수익률,1.06,0.26
"강남","압구정동",수익률 종합 (%),소득수익률,0.28,0.51
"강남","압구정동",수익률 종합 (%),자본수익률,0.77,-0.25
"강남","양재말죽거리",임대료 (천원/㎡),소계,38.40,38.40
"강남","양재말죽거리",공실률 (%),소계,4.10,5.30
"강남","양재말죽거리",수익률 종합 (%),투자수익률,1.36,0.51
"강남","양재말죽거리",수익률 종합 (%),소득수익률,0.41,0.61
"강남","양재말죽거리",수익률 종합 (%),자본수익률,0.95,-0.09
"강남","양재역",임대료 (천원/㎡),소계,39.40,39.50
"강남","양재역",공실률 (%),소계,12.40,16.90
"강남","양재역",수익률 종합 (%),투자수익률,1.33,0.79
"강남","양재역",수익률 종합 (%),소득수익률,0.31,0.57
"강남","양재역",수익률 종합 (%),자본수익률,1.03,0.22
"강남","청담",임대료 (천원/㎡),소계,59.40,59.50
"강남","청담",공실률 (%),소계,8.10,6.10
"강남","청담",수익률 종합 (%),투자수익률,1.95,1.00
"강남","청담",수익률 종합 (%),소득수익률,0.25,0.49
"강남","청담",수익률 종합 (%),자본수익률,1.71,0.51
"강남","테헤란로",임대료 (천원/㎡),소계,48.60,48.70
"강남","테헤란로",공실률 (%),소계,5.70,5.70
"강남","테헤란로",수익률 종합 (%),투자수익률,1.63,0.76
"강남","테헤란로",수익률 종합 (%),소득수익률,0.45,0.72
"강남","테헤란로",수익률 종합 (%),자본수익률,1.18,0.03
"강남","학동/강남구청역",임대료 (천원/㎡),소계,49.20,49.60
"강남","학동/강남구청역",공실률 (%),소계,8.10,8.50
"강남","학동/강남구청역",수익률 종합 (%),투자수익률,1.36,0.41
"강남","학동/강남구청역",수익률 종합 (%),소득수익률,0.28,0.49
"강남","학동/강남구청역",수익률 종합 (%),자본수익률,1.08,-0.08
"영등포신촌지역","소계",임대료 (천원/㎡),소계,47.20,47.10
"영등포신촌지역","소계",공실률 (%),소계,9.10,9.00
"영등포신촌지역","소계",수익률 종합 (%),투자수익률,1.65,0.55
"영등포신촌지역","소계",수익률 종합 (%),소득수익률,0.49,0.73
"영등포신촌지역","소계",수익률 종합 (%),자본수익률,1.15,-0.17
"영등포신촌지역","공덕역",임대료 (천원/㎡),소계,39.00,39.00
"영등포신촌지역","공덕역",공실률 (%),소계,6.70,6.70
"영등포신촌지역","공덕역",수익률 종합 (%),투자수익률,1.77,0.34
"영등포신촌지역","공덕역",수익률 종합 (%),소득수익률,0.49,0.76
"영등포신촌지역","공덕역",수익률 종합 (%),자본수익률,1.28,-0.42
"영등포신촌지역","당산역",임대료 (천원/㎡),소계,29.60,29.50
"영등포신촌지역","당산역",공실률 (%),소계,11.70,11.70
"영등포신촌지역","당산역",수익률 종합 (%),투자수익률,1.41,0.77
"영등포신촌지역","당산역",수익률 종합 (%),소득수익률,0.60,0.81
"영등포신촌지역","당산역",수익률 종합 (%),자본수익률,0.82,-0.04
"영등포신촌지역","동교연남",임대료 (천원/㎡),소계,43.80,43.70
"영등포신촌지역","동교연남",공실률 (%),소계,0.90,0.90
"영등포신촌지역","동교연남",수익률 종합 (%),투자수익률,2.25,0.53
"영등포신촌지역","동교연남",수익률 종합 (%),소득수익률,0.51,0.72
"영등포신촌지역","동교연남",수익률 종합 (%),자본수익률,1.74,-0.19
"영등포신촌지역","망원역",임대료 (천원/㎡),소계,32.70,32.40
"영등포신촌지역","망원역",공실률 (%),소계,1.70,1.70
"영등포신촌지역","망원역",수익률 종합 (%),투자수익률,1.85,0.54
"영등포신촌지역","망원역",수익률 종합 (%),소득수익률,0.52,0.72
"영등포신촌지역","망원역",수익률 종합 (%),자본수익률,1.33,-0.17
"영등포신촌지역","신촌이대",임대료 (천원/㎡),소계,63.40,63.30
"영등포신촌지역","신촌이대",공실률 (%),소계,10.30,9.10
"영등포신촌지역","신촌이대",수익률 종합 (%),투자수익률,1.56,0.41
"영등포신촌지역","신촌이대",수익률 종합 (%),소득수익률,0.50,0.75
"영등포신촌지역","신촌이대",수익률 종합 (%),자본수익률,1.07,-0.34
"영등포신촌지역","영등포",임대료 (천원/㎡),소계,39.50,39.50
"영등포신촌지역","영등포",공실률 (%),소계,13.10,13.20
"영등포신촌지역","영등포",수익률 종합 (%),투자수익률,1.34,0.65
"영등포신촌지역","영등포",수익률 종합 (%),소득수익률,0.42,0.67
"영등포신촌지역","영등포",수익률 종합 (%),자본수익률,0.92,-0.02
"영등포신촌지역","홍대합정",임대료 (천원/㎡),소계,67.00,67.00
"영등포신촌지역","홍대합정",공실률 (%),소계,11.90,12.20
"영등포신촌지역","홍대합정",수익률 종합 (%),투자수익률,1.70,0.59
"영등포신촌지역","홍대합정",수익률 종합 (%),소득수익률,0.48,0.72
"영등포신촌지역","홍대합정",수익률 종합 (%),자본수익률,1.21,-0.13
"기타","소계",임대료 (천원/㎡),소계,46.20,46.20
"기타","소계",공실률 (%),소계,7.70,7.80
"기타","소계",수익률 종합 (%),투자수익률,1.48,0.66
"기타","소계",수익률 종합 (%),소득수익률,0.48,0.70
"기타","소계",수익률 종합 (%),자본수익률,1.01,-0.03
"기타","가락시장",임대료 (천원/㎡),소계,39.00,38.50
"기타","가락시장",공실률 (%),소계,9.40,11.50
"기타","가락시장",수익률 종합 (%),투자수익률,1.32,0.64
"기타","가락시장",수익률 종합 (%),소득수익률,0.29,0.54
"기타","가락시장",수익률 종합 (%),자본수익률,1.03,0.10
"기타","건대입구",임대료 (천원/㎡),소계,69.20,69.10
"기타","건대입구",공실률 (%),소계,4.40,4.40
"기타","건대입구",수익률 종합 (%),투자수익률,1.46,0.33
"기타","건대입구",수익률 종합 (%),소득수익률,0.38,0.57
"기타","건대입구",수익률 종합 (%),자본수익률,1.08,-0.24
"기타","경희대학교",임대료 (천원/㎡),소계,49.00,49.10
"기타","경희대학교",공실률 (%),소계,2.70,2.50
"기타","경희대학교",수익률 종합 (%),투자수익률,1.49,0.37
"기타","경희대학교",수익률 종합 (%),소득수익률,0.56,0.75
"기타","경희대학교",수익률 종합 (%),자본수익률,0.93,-0.39
"기타","구로디지털단지역",임대료 (천원/㎡),소계,44.00,44.00
"기타","구로디지털단지역",공실률 (%),소계,10.10,13.10
"기타","구로디지털단지역",수익률 종합 (%),투자수익률,1.40,0.63
"기타","구로디지털단지역",수익률 종합 (%),소득수익률,0.48,0.68
"기타","구로디지털단지역",수익률 종합 (%),자본수익률,0.92,-0.05
"기타","구의역",임대료 (천원/㎡),소계,38.60,38.70
"기타","구의역",공실률 (%),소계,2.50,2.50
"기타","구의역",수익률 종합 (%),투자수익률,1.30,0.14
"기타","구의역",수익률 종합 (%),소득수익률,0.43,0.59
"기타","구의역",수익률 종합 (%),자본수익률,0.87,-0.45
"기타","군자",임대료 (천원/㎡),소계,35.80,35.80
"기타","군자",공실률 (%),소계,7.70,8.40
"기타","군자",수익률 종합 (%),투자수익률,1.31,0.72
"기타","군자",수익률 종합 (%),소득수익률,0.41,0.63
"기타","군자",수익률 종합 (%),자본수익률,0.90,0.10
"기타","노량진",임대료 (천원/㎡),소계,47.40,47.30
"기타","노량진",공실률 (%),소계,7.40,7.40
"기타","노량진",수익률 종합 (%),투자수익률,1.03,0.94
"기타","노량진",수익률 종합 (%),소득수익률,0.57,0.75
"기타","노량진",수익률 종합 (%),자본수익률,0.46,0.19
"기타","독산시흥",임대료 (천원/㎡),소계,33.20,33.20
"기타","독산시흥",공실률 (%),소계,13.00,15.50
"기타","독산시흥",수익률 종합 (%),투자수익률,1.02,0.84
"기타","독산시흥",수익률 종합 (%),소득수익률,0.54,0.73
"기타","독산시흥",수익률 종합 (%),자본수익률,0.48,0.12
"기타","뚝섬",임대료 (천원/㎡),소계,43.70,43.80
"기타","뚝섬",공실률 (%),소계,2.60,2.60
"기타","뚝섬",수익률 종합 (%),투자수익률,2.58,0.62
"기타","뚝섬",수익률 종합 (%),소득수익률,0.31,0.43
"기타","뚝섬",수익률 종합 (%),자본수익률,2.26,0.19
"기타","목동",임대료 (천원/㎡),소계,33.60,33.60
"기타","목동",공실률 (%),소계,8.50,8.30
"기타","목동",수익률 종합 (%),투자수익률,1.24,0.78
"기타","목동",수익률 종합 (%),소득수익률,0.62,0.83
"기타","목동",수익률 종합 (%),자본수익률,0.62,-0.05
"기타","미아사거리",임대료 (천원/㎡),소계,38.50,38.60
"기타","미아사거리",공실률 (%),소계,12.60,12.70
"기타","미아사거리",수익률 종합 (%),투자수익률,1.29,0.50
"기타","미아사거리",수익률 종합 (%),소득수익률,0.57,0.73
"기타","미아사거리",수익률 종합 (%),자본수익률,0.72,-0.23
"기타","불광역",임대료 (천원/㎡),소계,38.60,38.50
"기타","불광역",공실률 (%),소계,14.90,14.90
"기타","불광역",수익률 종합 (%),투자수익률,1.22,0.54
"기타","불광역",수익률 종합 (%),소득수익률,0.67,0.80
"기타","불광역",수익률 종합 (%),자본수익률,0.55,-0.26
"기타","사당",임대료 (천원/㎡),소계,59.90,59.90
"기타","사당",공실률 (%),소계,9.10,10.10
"기타","사당",수익률 종합 (%),투자수익률,1.28,1.21
"기타","사당",수익률 종합 (%),소득수익률,0.53,0.74
"기타","사당",수익률 종합 (%),자본수익률,0.75,0.47
"기타","상계역",임대료 (천원/㎡),소계,29.70,29.60
"기타","상계역",공실률 (%),소계,8.50,7.60
"기타","상계역",수익률 종합 (%),투자수익률,1.45,0.50
"기타","상계역",수익률 종합 (%),소득수익률,0.60,0.79
"기타","상계역",수익률 종합 (%),자본수익률,0.85,-0.30
"기타","상봉역",임대료 (천원/㎡),소계,39.00,39.00
"기타","상봉역",공실률 (%),소계,8.80,6.50
"기타","상봉역",수익률 종합 (%),투자수익률,1.32,0.29
"기타","상봉역",수익률 종합 (%),소득수익률,0.39,0.58
"기타","상봉역",수익률 종합 (%),자본수익률,0.93,-0.29
"기타","서울대입구역",임대료 (천원/㎡),소계,80.20,80.20
"기타","서울대입구역",공실률 (%),소계,6.10,9.10
"기타","서울대입구역",수익률 종합 (%),투자수익률,1.46,0.83
"기타","서울대입구역",수익률 종합 (%),소득수익률,0.73,0.94
"기타","서울대입구역",수익률 종합 (%),자본수익률,0.72,-0.11
"기타","성신여자대학교",임대료 (천원/㎡),소계,47.60,47.50
"기타","성신여자대학교",공실률 (%),소계,10.60,10.60
"기타","성신여자대학교",수익률 종합 (%),투자수익률,1.75,0.65
"기타","성신여자대학교",수익률 종합 (%),소득수익률,0.72,0.97
"기타","성신여자대학교",수익률 종합 (%),자본수익률,1.03,-0.33
"기타","수유",임대료 (천원/㎡),소계,49.80,50.00
"기타","수유",공실률 (%),소계,4.30,3.80
"기타","수유",수익률 종합 (%),투자수익률,1.41,0.62
"기타","수유",수익률 종합 (%),소득수익률,0.58,0.86
"기타","수유",수익률 종합 (%),자본수익률,0.83,-0.24
"기타","숙명여자대학교",임대료 (천원/㎡),소계,38.70,38.80
"기타","숙명여자대학교",공실률 (%),소계,6.10,7.20
"기타","숙명여자대학교",수익률 종합 (%),투자수익률,2.29,0.69
"기타","숙명여자대학교",수익률 종합 (%),소득수익률,0.21,0.39
"기타","숙명여자대학교",수익률 종합 (%),자본수익률,2.08,0.30
"기타","신림역",임대료 (천원/㎡),소계,64.70,64.80
"기타","신림역",공실률 (%),소계,1.70,1.60
"기타","신림역",수익률 종합 (%),투자수익률,1.66,1.06
"기타","신림역",수익률 종합 (%),소득수익률,0.55,0.83
"기타","신림역",수익률 종합 (%),자본수익률,1.10,0.23
"기타","연신내",임대료 (천원/㎡),소계,46.80,46.70
"기타","연신내",공실률 (%),소계,9.90,9.90
"기타","연신내",수익률 종합 (%),투자수익률,1.25,0.74
"기타","연신내",수익률 종합 (%),소득수익률,0.78,0.89
"기타","연신내",수익률 종합 (%),자본수익률,0.46,-0.15
"기타","오류동역",임대료 (천원/㎡),소계,49.60,49.60
"기타","오류동역",공실률 (%),소계,4.60,4.60
"기타","오류동역",수익률 종합 (%),투자수익률,1.24,0.79
"기타","오류동역",수익률 종합 (%),소득수익률,0.51,0.82
"기타","오류동역",수익률 종합 (%),자본수익률,0.73,-0.03
"기타","왕십리",임대료 (천원/㎡),소계,42.00,42.00
"기타","왕십리",공실률 (%),소계,0.90,0.90
"기타","왕십리",수익률 종합 (%),투자수익률,1.19,0.64
"기타","왕십리",수익률 종합 (%),소득수익률,0.41,0.62
"기타","왕십리",수익률 종합 (%),자본수익률,0.78,0.02
"기타","용산역",임대료 (천원/㎡),소계,26.20,26.40
"기타","용산역",공실률 (%),소계,12.90,12.90
"기타","용산역",수익률 종합 (%),투자수익률,1.92,1.23
"기타","용산역",수익률 종합 (%),소득수익률,0.29,0.49
"기타","용산역",수익률 종합 (%),자본수익률,1.63,0.73
"기타","이태원",임대료 (천원/㎡),소계,57.60,57.40
"기타","이태원",공실률 (%),소계,1.20,0.00
"기타","이태원",수익률 종합 (%),투자수익률,2.07,0.94
"기타","이태원",수익률 종합 (%),소득수익률,0.38,0.58
"기타","이태원",수익률 종합 (%),자본수익률,1.69,0.36
"기타","잠실송파",임대료 (천원/㎡),소계,44.00,44.20
"기타","잠실송파",공실률 (%),소계,13.70,10.40
"기타","잠실송파",수익률 종합 (%),투자수익률,1.24,0.35
"기타","잠실송파",수익률 종합 (%),소득수익률,0.24,0.53
"기타","잠실송파",수익률 종합 (%),자본수익률,1.00,-0.18
"기타","잠실새내역",임대료 (천원/㎡),소계,36.40,36.40
"기타","잠실새내역",공실률 (%),소계,6.40,5.80
"기타","잠실새내역",수익률 종합 (%),투자수익률,1.43,0.28
"기타","잠실새내역",수익률 종합 (%),소득수익률,0.41,0.68
"기타","잠실새내역",수익률 종합 (%),자본수익률,1.02,-0.40
"기타","장안동",임대료 (천원/㎡),소계,36.10,36.10
"기타","장안동",공실률 (%),소계,9.40,7.50
"기타","장안동",수익률 종합 (%),투자수익률,1.44,0.35
"기타","장안동",수익률 종합 (%),소득수익률,0.56,0.79
"기타","장안동",수익률 종합 (%),자본수익률,0.87,-0.44
"기타","천호",임대료 (천원/㎡),소계,46.90,47.00
"기타","천호",공실률 (%),소계,6.70,6.10
"기타","천호",수익률 종합 (%),투자수익률,1.59,0.97
"기타","천호",수익률 종합 (%),소득수익률,0.47,0.74
"기타","천호",수익률 종합 (%),자본수익률,1.12,0.24
"기타","청량리",임대료 (천원/㎡),소계,45.20,45.20
"기타","청량리",공실률 (%),소계,10.40,10.00
"기타","청량리",수익률 종합 (%),투자수익률,1.37,0.36
"기타","청량리",수익률 종합 (%),소득수익률,0.43,0.61
"기타","청량리",수익률 종합 (%),자본수익률,0.94,-0.26
"기타","혜화동",임대료 (천원/㎡),소계,61.80,61.70
"기타","혜화동",공실률 (%),소계,7.60,9.30
"기타","혜화동",수익률 종합 (%),투자수익률,1.35,0.36
"기타","혜화동",수익률 종합 (%),소득수익률,0.35,0.64
"기타","혜화동",수익률 종합 (%),자본수익률,1.00,-0.28
"기타","화곡",임대료 (천원/㎡),소계,35.30,35.30
"기타","화곡",공실률 (%),소계,14.50,13.60
"기타","화곡",수익률 종합 (%),투자수익률,1.32,0.86
"기타","화곡",수익률 종합 (%),소득수익률,0.55,0.80
"기타","화곡",수익률 종합 (%),자본수익률,0.77,0.06
